franco,arabic,label
7elw,حلو,positive
helw,حلو,positive
7elwa,حلوة,positive
helwa,حلوة,positive
gamda,جامدة,positive
gamed,جامد,positive
gameel,جميل,positive
gamila,جميلة,positive
momtaz,ممتاز,positive
momtaza,ممتازة,positive
to7fa,تحفة,positive
tuhfa,تحفة,positive
raw3a,روعة,positive
rawaa,روعة,positive
3agabny,عجبني,positive
3agbny,عجبني,positive
perfect,ممتاز,positive
amazing,رائع,positive
nice,حلو,positive
love it,عجبني,positive
7abeto,حبيته,positive
habeto,حبيته,positive
7abetaha,حبيتها,positive
kwayes,كويس,positive
kowayes,كويس,positive
kwayesa,كويسة,positive
tamam,تمام,positive
fol,فل,positive
fol awy,فل أوي,positive
zy el fol,زي الفل,positive
mozbot,مظبوط,positive
saree3,سريع,positive
nedeef,نضيف,positive
nadeef,نضيف,positive
wahesh,وحش,negative
w7esh,وحش,negative
we7esh,وحش,negative
zift,زفت,negative
khara,سيء,negative
say2,سيء,negative
saye2,سيء,negative
msh 7elw,مش حلو,negative
mesh helw,مش حلو,negative
msh kwayes,مش كويس,negative
mesh kwayes,مش كويس,negative
msh tamam,مش تمام,negative
ba2eza,باظت,negative
bazet,باظت,negative
baye5,بايخ,negative
bayekh,بايخ,negative
mo2ref,مقرف,negative
me2ref,مقرف,negative
ghaly,غالي,negative
8aly,غالي,negative
mot2akher,متأخر,negative
mota5ar,متأخر,negative
batee2,بطيء,negative
bati2,بطيء,negative
msh nedeef,مش نضيف,negative
mesh nadeef,مش نضيف,negative
daye3,ضايع,negative
modya3,مضيع,negative
msh 3agabny,مش عاجبني,negative
mesh 3agbny,مش عاجبني,negative
ah,اه,neutral
aah,اه,neutral
aywa,ايوه,neutral
la2,لا,neutral
laa,لا,neutral
msh,مش,neutral
mesh,مش,neutral
ana,انا,neutral
enta,انت,neutral
enty,انتي,neutral
howa,هو,neutral
heya,هي,neutral
eh,ايه,neutral
leh,ليه,neutral
feen,فين,neutral
emta,امتى,neutral
kam,كام,neutral
da,ده,neutral
de,دي,neutral
dol,دول,neutral
